ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
三万,3556,公有水面埋立法,41_1,Sentence,第二十条ノ規定ニ依ル届出ヲ怠リタル者ハ三万円以下ノ罰金又ハ科料ニ処ス
四十七条,3531,民法施行法,1_3,Sentence,「支店」とあるのは「従たる事務所」を「第四十七条第三項中「前項」とあるのは「保険業法第六
十に,3529,船舶安全法,18_1,Sentence,新船舶安全法第二十五条の七十において準用する新船舶安全法第二十五条の五
六）,3524,刑法,,ArticleRange,（第九十五条―第九十六条の六）
一以,3496,水害予防組合法,27_3,Sentence,組合会ハ管理者之ヲ招集ス議員定数三分ノ一以上ノ請求アルトキハ管理者ハ之ヲ招集スヘシ
五節,3482,民法,,SectionTitle,第五節　不在者の財産の管理及び失踪の宣告
四日,3464,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,正月四日
七章,3460,民法,,ChapterTitle,第七章　時効
七月,3452,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,七月大
七日,3438,砂防法施行規程,8_1,Sentence,テ砂防工事ヲ施行セムトスルトキハ少クトモ七日前ニ之ヲ其ノ土地所有者ニ通知スヘシ若シ其
二次,3367,恩給給与規則,10_1,Sentence,恩給法第七十三条第一項各号ノ規定ニ依リ第二次以下ニ於テ扶助料ヲ請求スルコトヲ得ル者カ
五十一条,3366,公証人法,7_1,Sentence,ハ嘱託人ヨリ手数料、送達ニ要スル料金、第五十一条ノ登記ノ手数料相当額（第三項ニ於テ登記手
八　,3360,船員保険法施行規則,21_1,Sentence,八　請求者ト同順位ノモノアルトキハ其ノ者ノ氏
十一日,3349,水難救護法,34_1,Sentence,所為ヲ以テ船難報告書ニ認証ヲ受ケタル者ハ十一日以上六月以下ノ拘禁刑ニ処シ又ハ二万円以下
六第,3294,健康保険法,9_2,Sentence,法第四十三条ノ四第一項及び第四十三条ノ六第一項の厚生省令、新健保法第四十四条ノ四第
四ま,3255,行旅病人及行旅死亡人取扱法,1_1_1:4,ItemTitle,一から四まで
六十七条,3248,健康保険法,18_1,Sentence,に関する費用の返還については、新健保法第六十七条ノ二第三項の規定にかかわらず、なお従前の
十一項,3235,恩給法,24_14,Sentence,入されないこととされている加算年並びに第十一項及び第十二項の規定により在職年に加えられ
四分,3202,第三回四分利付英貨公債発行規程,,LawTitle,第三回四分利付英貨公債発行規程
十人,3192,健康保険法,46_12,Sentence,数が常時五十人を超えるものの各適用事業所をいう。
三百四十九条,3185,地方交付税法,14_3,Sentence,の課税標準となるべき額の合計額から同法第三百四十九条の四又は第三百四十九条の五の規定により市
五十六条,3169,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,6_1,Sentence,民事執行法（昭和五十四年法律第四号）第百五十六条第一項又ハ第二項（此等ヲ準用シ又ハ其ノ例
七に,3159,健康保険法,3_1,Sentence,九条の七において適用する場合を含む。）の規定は、昭
十二月,3155,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_1,Sentence,般太陰暦ヲ廃シ太陽暦御頒行相成候ニ付来ル十二月三日ヲ以テ明治六年一月一日ト被定候事
五十八条,3155,外国法人の登記及び夫婦財産契約の登記に関する法律,7,Sentence,従前の不動産登記法第百五十条若しくは第百五十八条又は非訟事件手続法第百五十一条第一項若し
二及,3137,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,15_2_1,Sentence,歳出金ノ繰替払ヲ命令スル官吏第十二条ノ二及第十三条ノ二ノ記入ヲ為シタルトキハ仕払通
八章,3118,民法,,ChapterTitle,第八章　先取特権
七十八条,3069,担保付社債信託法,15_1,Sentence,担保付社債専業信託会社に係る会社法第四百七十八条第二項から第四項まで、第四百七十九条第二
二―,3064,関税定率法,,Sentence,一　五―エチリデン―二―ノルボルネン
七百一条,3010,地方税法,701_12_2_1,Sentence,の提出期限後にその提出があつた場合又は第七百一条の九第二項の規定による決定があつた場合
五〇,2995,関税定率法,,Sentence,〇二〇四・五〇
三（,2965,民法,308_2_1_3,Sentence,第七百六十六条及び第七百六十六条の三（これらの規定を第七百四十九条、第七百七十
七）,2950,民法,,ArticleRange,（第四百二十三条―第四百二十三条の七）
一第,2948,刑法,1_1_2,Sentence,以下「組織的犯罪処罰法」という。）別表第一第四号及び第十号並びに別表第三第二号ヌの改
三輪,2940,関税定率法,,Sentence,自転車（運搬用三輪自転車を含むものとし、原動機付きのものを
〇メ,2917,漁船特殊規程,62_1,Sentence,長サ三〇メートル未満ノ漁船ハ錨ノ総質量ガ船舶設備規
七十三条,2889,鉄道抵当法,65_1,Sentence,代金ハ競落ヲ許ス決定カ確定シタル日又ハ第七十三条ノ許可ヲ受クルコトヲ要スル者ニ在リテハ其
四十九条,2872,民法施行法,1_3,Sentence,と」を加える部分を除く。）及び同法第二百四十九条第十九号の次に一号を加える改正規定、第三
五十九条,2870,明治四十二年法律第二十二号（立木ニ関スル法律）,21_1,Sentence,ル抵当権設定ノ登記ニ於テハ不動産登記法第五十九条各号、第八十三条第一項各号並ニ第八十八条
四款,2835,民法,,SubsectionTitle,第四款　連帯債務
百四十四条,2804,健康保険法,2_1,Sentence,掛金及び負担金、地方公務員等共済組合法第百四十四条の三第一項に規定する団体が納付すべき掛金
二万,2754,砂防法,41_1,Sentence,規定シタル私人ノ義務ニ関シテハ命令ヲ以テ二万円以下ノ罰金若ハ一年以下ノ拘禁刑ノ罰則ヲ
二を,2744,健康保険法,1_1,Sentence,改正規定、同法第二十四条ノ二を削る改正規定並びに同法第六十九条の十一、
九　,2728,船員保険法施行規則,21_1,Sentence,第八十二条ノ十四ノ九　通算遺族年金受給者ハ法第二十三条ノ七若ハ
六十三条,2686,担保付社債信託法,1_1_4,Sentence,禁止」を加える部分を除く。）並びに同法第六十三条の二の五第三号及び第四号の改正規定、第十
二、,2648,外国法人の登記及び夫婦財産契約の登記に関する法律,4_1,Sentence,条まで、第十七条、第十八条、第十九条の二、第十九条の三、第二十一条から第二十三条の
二十一年,2632,砂防法,2_1,Sentence,の条において同じ。）について適用し、平成二十一年度以前の年度における事務又は事業の実施に
九に,2624,担保付社債信託法,5_1_5,Sentence,定する信用協同組合の業務又は同法第九条の九に規定する協同組合連合会の業務（同条第六項
六十条,2618,鉄道抵当法,38_2_3,Sentence,目録ニ記録セラレタル保有個人情報（同法第六十条第一項ニ規定スル保有個人情報ヲ謂フ）ニ付
一個,2606,刑法施行法,3_3,Sentence,主刑中其一個ヲ科ス可キトキハ其中ニテ重キ刑ノミニ付キ
四十年,2601,恩給法,58_4_2,Sentence,恩給外ノ所得ノ計算ニ付テハ所得税法（昭和四十年法律第三十三号）ノ課税総所得金額ノ計算ニ
七十一条,2598,健康保険法,154_1,Sentence,険を行う国民健康保険の保険者を含む。第百七十一条第二項及び第三項において同じ。）を設立す
六十二条,2585,民法,852_1,Sentence,四十七条、第八百六十一条第二項及び第八百六十二条の規定は後見監督人について、第八百四十条
五ま,2579,刑法,2_1_7,Sentence,第百六十三条の二から第百六十三条の五まで（支払用カード電磁的記録不正作出等、不
八第,2576,健康保険法,3_1,Sentence,新健保法第五十条第二項及び第六十九条の十八第一項の規定は、分べんの日がこの法律の施行
一括,2569,船舶法施行細則,3_2_2,Sentence,間ニ於ケル物品若クハ旅客ノ運送ニ関シ一括シテ為スコトヲ得
二様,2558,軌道法施行規則,9_1_6,Sentence,土工定規（新設軌道ニ限ル）第三号ノ二様式ニ依ル図面添附
七第,2530,船舶安全法,25_32_1,Sentence,前三条の規定は、機構が第二十五条の二十七第一項第二号に掲げる業務を行う場合について
八十二条,2528,船舶設備規程,2_1,Sentence,船舶安全法施行規則、小型船舶安全規則（第八十二条第一項第一号の表備考第八号の規定を除く。
一円,2526,関税定率法,,Sentence,二五％及び一キログラムにつき一、四一一円
九日,2519,明治五年太政官布告第三百三十七号（改暦ノ布告）,2,Sentence,明治五年壬申十一月九日
三十七年,2467,船舶法,10,Sentence,に伴う関係法律の整理等に関する法律（昭和三十七年法律第百四十号）に同一の法律についての改
十を,2465,健康保険法,24_1,Sentence,」という。）に百分の五十を加えた割合に増加することができる。
三日,2464,明治二十一年勅令第一号（宝冠章及大勲位菊花章頸飾ニ関スル件）,1,Sentence,一月三日以後の日付をもって授与される勲章から適用
八）,2449,民法,,ArticleRange,（第二百六十四条の二―第二百六十四条の八）
六節,2448,民法,,SectionTitle,第六節　同時死亡の推定
三十,2441,健康保険法,7_30,ArticleTitle,第七条の三十
百五十五条,2434,健康保険法,181_3_4,Sentence,その徴収した額に相当する額については、第百五十五条の二の規定により、政府から協会に対し、交
三種,2431,運河法施行規則,3_1,Sentence,運河予測図ハ左ノ三種トス
三百二十一条,2424,商法,6_1,Sentence,、同条の規定にかかわらず、改正後の商法第三百二十一条ノ二、第三百二十四条、第三百二十九条及び
九十条,2406,民法施行法,1_3,Sentence,品取引法（昭和二十三年法律第二十五号）第九十条において準用する商業登記法（」と、「商業
一〇,2389,関税定率法,,Sentence,〇一〇三・一〇
一切,2385,日本国及希臘国間修好通商航海条約,2_2,Sentence,及領事官ニ現ニ許与シ或ハ許与セラルヘキ一切ノ権利、特典、特権及免除ヲ享有スヘシ
八に,2358,健康保険法,19_1,Sentence,新健保法第六十九条の八に規定する社会保険庁長官の承認
十二項,2347,恩給法,1,Sentence,但し、附則第二項から第十六項まで（附則第十二項を除く。）の規定は、公庫成立の日から施行
三欄,2345,恩給法,4_1,Sentence,にあつては同表（イ）又は（ロ）の第三欄に掲げる額とし、七十歳以上の者に係る扶助
一欄,2293,恩給法,4_1,Sentence,の表中、附則別表第七（イ）又は（ロ）の第一欄に掲げる額は、六十五歳未満の者（扶助料を
八を,2287,船員保険法,29_2,Sentence,乗じて得た額に〇・九八八を乗じて得た額
五（,2286,無尽業法,1_1_3,Sentence,定（「第三十七条の五（保証金の受領に係る書面の交付）、第三十七
六十五歳,2278,健康保険法,63_2_1,Sentence,の他の看護であって、当該療養を受ける際、六十五歳に達する日の属する月の翌月以後である被保
八日,2261,日西特別通商条約,6_1,Sentence,朕明治三十三年三月二十八日東京ニ於テ日西両国全権委員ノ記名調印シタ
十　,2258,船員保険法施行規則,21_1,Sentence,第八十二条ノ十四ノ十　通算遺族年金受給者（厚生労働大臣ガ住民基
七十七条,2238,商法,809_3_1,Sentence,ただし、次のハに掲げる物にあっては第五百七十七条第二項第一号に掲げる場合を、次のニに掲げ
